Product URL,Brand,Title,Standard Price,Image URL,Size and Fit,Exterior Color,Exterior Material,Accessories,Store Location,CLAIR CODE,Item No
https://shop.rebag.com/products/accessories-hermes-hermy-horse-stuffed-animal-plush-1342431?groupBy=productClicked,Hermes,Hermy Horse Stuffed Animal Plush,$170,https://shop.rebag.com/cdn/shop/products/134243-1_20Hermes_20Hermy_20Horse_20Stuffed_20Animal_20Plush_2D_0002_508x508.jpg?v=1647890605,"7.5""W x 8.5""H x 8""D",Blue,Plush,Box,Online Only,HI.HM.HERM.PLUS,134243/1
https://shop.rebag.com/products/accessories-hermes-hermy-horse-stuffed-animal-plush-1355583?groupBy=productClicked,Hermes,Hermy Horse Stuffed Animal Plush,$230,https://shop.rebag.com/cdn/shop/products/135558-3_20Hermes_20Hermy_20Horse_20Stuffed_20Animal_20Plush_2D_0002_508x508.jpg?v=1648487747,"8.5""W x 8.5""H x 7""D",Blue,Plush,Box,Online Only,HI.HM.HERM.PLUS,135558/3
https://shop.rebag.com/products/accessories-hermes-hermy-horse-stuffed-animal-plush-1342391?groupBy=productClicked,Hermes,Hermy Horse Stuffed Animal Plush,$300,https://shop.rebag.com/cdn/shop/products/134239-1_20Hermes_20Hermy_20Horse_20Stuffed_20Animal_20Plush_2D_0002_508x508.jpg?v=1647883166,"8""W x 8""H x 7""D",Pink,Plush,Box,Online Only,HI.HM.HERM.PLUS,134239/1
https://shop.rebag.com/products/accessories-hermes-hermy-horse-stuffed-animal-plush-1342432?groupBy=productClicked,Hermes,Hermy Horse Stuffed Animal Plush,$185,https://shop.rebag.com/cdn/shop/products/134243-2_20Hermes_20Hermy_20Horse_20Stuffed_20Animal_20Plush_2D_0002_508x508.jpg?v=1647890084,"7.5""W x 8.5""H x 8""D",Pink,Plush,Box,Online Only,HI.HM.HERM.PLUS,134243/2
https://shop.rebag.com/products/accessories-hermes-hermy-horse-stuffed-animal-plush-1373871?groupBy=productClicked,Hermes,Hermy Horse Stuffed Animal Plush,$185,https://shop.rebag.com/cdn/shop/products/137387-1_20Hermes_20Hermy_20Horse_20Stuffed_20Animal_20Plush_2D_0002_508x508.jpg?v=1649091349,"7.5""W x 8""H x 8""D",Pink,Plush,Box,Online Only,HI.HM.HERM.PLUS,137387/1
https://shop.rebag.com/products/accessories-hermes-hermy-horse-stuffed-animal-plush-1282472?groupBy=productClicked,Hermes,Hermy Horse Stuffed Animal Plush,$825,https://shop.rebag.com/cdn/shop/products/128247-2_20Hermes_20Hermy_20Horse_20Stuffed_20Animal_20Plush_2D_0002_336x336.jpg?v=1645119840,"7.5""W x 8""H x 8""D",Blue,Plush,Box,Online Only,HI.HM.HERM.PLUS,128247/2
https://shop.rebag.com/products/accessories-hermes-hermy-horse-stuffed-animal-plush-1373881?groupBy=productClicked,Hermes,Hermy Horse Stuffed Animal Plush,$185,https://shop.rebag.com/cdn/shop/products/137388-1_20Hermes_20Hermy_20Horse_20Stuffed_20Animal_20Plush_2D_0002_508x508.jpg?v=1649090137,"8""W x 9""H x 8""D",Blue,Plush,No accessories,Online Only,HI.HM.HERM.PLUS,137388/1
https://shop.rebag.com/products/accessories-hermes-hermy-horse-stuffed-animal-plush-1355561?groupBy=productClicked,Hermes,Hermy Horse Stuffed Animal Plush,$230,https://shop.rebag.com/cdn/shop/products/135556-1_20Hermes_20Hermy_20Horse_20Stuffed_20Animal_20Plush_2D_0002_336x336.jpg?v=1648486265,"8.5""W x 8.5""H x 7""D",Blue,Plush,Box,Online Only,HI.HM.HERM.PLUS,135556/1
https://shop.rebag.com/products/accessories-hermes-hermy-horse-stuffed-animal-plush-1248723?groupBy=productClicked,Hermes,Hermy Horse Stuffed Animal Plush,$825,https://shop.rebag.com/cdn/shop/products/124872-3_20Hermes_20Hermy_20Horse_20Stuffed_20Animal_20Plush_2D_0002_508x508.jpg?v=1645116510,"7.5""W x 9""H x 7.5""D",Blue,Plush,Box,Online Only,HI.HM.HERM.PLUS,124872/3
https://shop.rebag.com/products/accessories-hermes-hermy-horse-stuffed-animal-plush-1308501?groupBy=productClicked,Hermes,Hermy Horse Stuffed Animal Plush,$375,https://shop.rebag.com/cdn/shop/products/130850-1_20Hermes_20Hermy_20Horse_20Stuffed_20Animal_20Plush_2D_0002_508x508.jpg?v=1646682237,"9""W x 8.5""H x 7""D",Blue,Plush,Box,Online Only,HI.HM.HERM.PLUS,130850/1
