Image URL,Brand,Product Title,Price,Location,Item Number,Year,Condition,Shipping Info,Comes With,Size,Description
https://prod-images.fashionphile.com/main/87e33dac43c98cd89be2d40a7e40ba04/675b1ed55c6f2a3589187b6cdb774293.jpg,Hermes,Epsom Oran Sandals 38 Rose Pale,$795,Pickup today in our San Diego Flagship,1473284,,Excellent,"['Exterior: Creases, structure loss', 'Other: Scuffs at soles, marks on sole(s)']","['FASHIONPHILE Certificate of Authenticity', 'Box', '2 dust bags']",{'Size': '38 EU'},This is an authentic pair of HERMES Epsom Oran Sandals size 38 in Rose Pale. These stylish slippers are crafted of Epsom calfskin leather in pink. They feature a crossover in the shape of a Hermes H.
https://prod-images.fashionphile.com/main/ee9c6ac41a45f40584b6dbc9c3f7ec77/114880f1e69c694cca75c5fb3fb1ec3a.jpg,Hermes,Silk Mors Et Gourmettes Vichy Twilly  Rouge Bleu Gitane White,$225,Pickup today in our NYC Flagship,1495288,,Giftable,[],"['FASHIONPHILE Certificate of Authenticity', 'Retail tags attached']","{'Length': '34 in', 'Height': '2 in'}","This is an authentic HERMES Silk Mors Et Gourmettes Vichy Twilly in  Rouge, Bleu Gitane, White. This is a charming narrow silk twill scarf that features an intricate design of flowing pattern on a red checkered background."
https://prod-images.fashionphile.com/main/ee9c6ac41a45f40584b6dbc9c3f7ec77/8456460e42c0edce0ca7eb1ec582ab01.jpg,Hermes,Epsom Belt 38mm 90 36 Bleu Indigo White Orange,$725,Pickup today in our NYC Flagship,1494522,2024,Excellent,['Hardware: Faint scratch(es)'],"['FASHIONPHILE Certificate of Authenticity', 'Box', 'Dust bag']","{'Length': '41.25 in', 'Height': '0.75 in'}","This is an authentic HERMES Epsom Belt 38mm 90 36 Bleu, Indigo, White, and Orange. This chic leather belt has blue polished calfskin leather. The belt features a premabrass Hermes buckle."
https://prod-images.fashionphile.com/main/ee9c6ac41a45f40584b6dbc9c3f7ec77/a5373b750505396596b40ef6a113ea88.jpg,Hermes,Buffle Toile Sac A Chien TouTou Brique Potiron,$950,Pickup today in our NYC Flagship,1492386,,Shows Wear,"['Interior: Musty odor, surface wear', 'Hardware: Scratch(es)', 'Exterior: Marks, stain(s), surface wear']","['FASHIONPHILE Certificate of Authenticity', 'Strap']","{'Length': '16.5 in', 'Width': '9 in', 'Height': '12.25 in', 'Drop': '5.25 in'}","This is an authentic HERMES Buffle Toile Sac A Chien TouTou in Brique and Potiron. This chic animal carrier is crafted of pumpkin orange toile canvas and features nylon top handles with buffalo anchors and grips with a perforated buffalo side panel. The bag also features an optional cross-body shoulder strap with palladium silver clasps, wrap around palladium silver zippers and a washable padded interior for comfort. This pet carrier is perfect for every day use with the classical sophistication of Hermes."
https://prod-images.fashionphile.com/main/f2b687d99989467d62b273b21df00224/0557d413d98fca2ade03fc6f01218df6.jpg,Hermes,Alligator Heure H Hour Watch 30mm Strap White,$295,Pickup today in our NYC Flagship,1382972,,Shows Wear,"['Exterior: Edge wear, glue residue, marks, sizing marks', 'Hardware: Faint scratch(es)']",['FASHIONPHILE Certificate of Authenticity'],"{'Length': '7.25 in', 'Width': '0.5 in'}",This is an authentic HERMES Alligator Heure H Hour Watch 30mm Strap in White. This watch band is crafted of alligator in white.
https://prod-images.fashionphile.com/main/ee9c6ac41a45f40584b6dbc9c3f7ec77/5a2b049170981df8b443aaac3f7a61e0.jpg,Hermes,Silk Mors Et Gourmettes Vichy Twilly  Rouge Bleu Gitane White,$225,Pickup today in our NYC Flagship,1495287,,Giftable,[],"['FASHIONPHILE Certificate of Authenticity', 'Retail tags attached']","{'Length': '34 in', 'Height': '2 in'}",This is an authentic HERMES Silk Mors Et Gourmettes Vichy Twilly in Rouge Bleu Gitane White. This is a charming narrow silk twill scarf that features an intricate design of flowing pattern on a red checkered background.
https://prod-images.fashionphile.com/main/ee9c6ac41a45f40584b6dbc9c3f7ec77/b3b02980244b6e7ea5209bd7bef4f1d8.jpg,Hermes,Wool Cashmere Signature Classic Avalon Blanket Ecru Potiron,"$1,550",Pickup today in our San Diego Flagship,1495285,,Excellent,['Exterior: Pilling'],"['FASHIONPHILE Certificate of Authenticity', 'Box']","{'Length': '53 in', 'Height': '66 in'}",This is an authentic HERMES Wool Cashmere Signature Classic Avalon Blanket in Ecru and Potiron. This stylish blanket is 90% wool and 10% cashmere. It is light beige and orange with iconic Hermes H logos and a stitched border.
https://prod-images.fashionphile.com/main/ee9c6ac41a45f40584b6dbc9c3f7ec77/b3b02980244b6e7ea5209bd7bef4f1d8.jpg,Hermes,Wool Cashmere Signature Classic Avalon Blanket Ecru Potiron,"$1,550",Pickup today in our San Diego Flagship,1495285,,Excellent,['Exterior: Pilling'],"['FASHIONPHILE Certificate of Authenticity', 'Box']","{'Length': '53 in', 'Height': '66 in'}",This is an authentic HERMES Wool Cashmere Signature Classic Avalon Blanket in Ecru and Potiron. This stylish blanket is 90% wool and 10% cashmere. It is light beige and orange with iconic Hermes H logos and a stitched border.
https://prod-images.fashionphile.com/main/ee9c6ac41a45f40584b6dbc9c3f7ec77/5d688377d71d5a448fcd414877f6ce33.jpg,Hermes,Matte Enamel Narrow Clic Clac HH Bracelet T5 So Black,$750,Pickup today in our NYC Flagship,1494897,2023,Excellent,"['Hardware: Scratch(es), nick(s)']","['FASHIONPHILE Certificate of Authenticity', 'Pouch']","{'Width': '0.5 in', 'Circumference': '7.1 in'}","This is an authentic HERMES Matte Enamel Narrow Clic Clac HH Bracelet size T5 in So Black. This is a chic bracelet from Hermes that is classic yet very modern. This bracelet features a black brushed metal band with a hinge on one side and opens with a swivel Hermes ""H"" on the prominent side."
https://prod-images.fashionphile.com/main/ee9c6ac41a45f40584b6dbc9c3f7ec77/a34338833a64d9b14b74700de9ec3682.jpg,Hermes,Box Kelly Double Tour Bracelet T1 Black,$325,Pickup today in our NYC Flagship,1494452,,Excellent,['Hardware: Faint scratch(es)'],"['FASHIONPHILE Certificate of Authenticity', 'Dust bag']","{'Length': '14 in', 'Height': '0.5 in'}","This is an authentic HERMES Box Kelly Double Tour Bracelet T1 in Black . This bracelet is crafted of soft calfskin leather in black with polished gold signature Kelly turn lock. This bracelet wraps around the wrist twice for a ""double tour""."
